game_id,season,week,kickoff,margin_prediction,margin_actual,total_prediction,total_actual,margin_lower,margin_upper,margin_covered,total_lower,total_upper,total_covered
2023_03_PIT_LV,2023,3,2023-09-24T20:20-04:00,1.7660139547693232,-5.0,43.14705882352941,41.0,-14.92531860043362,18.457346509972268,True,25.018207282913167,61.27591036414566,True
2023_03_PHI_TB,2023,3,2023-09-25T19:15-04:00,-3.0522408619499273,-14.0,44.31388888888889,36.0,-19.74357341715287,13.639091693253016,True,26.185037348272644,62.442740429505136,True
2023_03_LA_CIN,2023,3,2023-09-25T20:15-04:00,1.9800161531939862,3.0,42.98142414860681,35.0,-14.711316402008958,18.67134870839693,True,24.852572607990567,61.11027568922306,True
2023_04_DET_GB,2023,4,2023-09-28T20:15-04:00,1.70874315331339,-14.0,47.6764705882353,54.0,-14.982589401889554,18.400075708516333,True,29.54761904761905,65.80532212885154,True
2023_04_ATL_JAX,2023,4,2023-10-01T09:30-04:00,1.873255625580234,16.0,44.77244582043343,30.0,-14.81807692962271,18.56458818078318,True,26.643594279817187,62.90129736104968,True
2023_04_BAL_CLE,2023,4,2023-10-01T13:00-04:00,-2.625214896808706,-25.0,41.43464052287582,31.0,-19.31654745201165,14.066117658394237,False,23.30578898225957,59.56349206349206,True
2023_04_CIN_TEN,2023,4,2023-10-01T13:00-04:00,-5.300541323222497,24.0,41.98142414860681,30.0,-21.99187387842544,11.390791231980447,False,23.852572607990567,60.11027568922306,True
2023_04_DEN_CHI,2023,4,2023-10-01T13:00-04:00,-3.670290271916544,-3.0,42.205882352941174,59.0,-20.36162282711949,13.0210422832864,True,24.077030812324928,60.33473389355742,True
2023_04_LA_IND,2023,4,2023-10-01T13:00-04:00,-1.816166902186355,-6.0,41.38235294117647,52.0,-18.5074994573893,14.87516565301659,True,23.253501400560225,59.51120448179272,True
2023_04_MIA_BUF,2023,4,2023-10-01T13:00-04:00,3.758188406112555,28.0,47.333333333333336,68.0,-12.933144149090388,20.4495209613155,False,29.20448179271709,65.46218487394958,False
2023_04_MIN_CAR,2023,4,2023-10-01T13:00-04:00,-0.9759450401990941,-8.0,46.372549019607845,34.0,-17.667277595402037,15.715387515003851,True,28.2436974789916,64.50140056022408,True
2023_04_PIT_HOU,2023,4,2023-10-01T13:00-04:00,-0.50500571727148,24.0,40.088235294117645,36.0,-17.196338272474424,16.186326837931464,False,21.9593837535014,58.21708683473389,True
2023_04_TB_NO,2023,4,2023-10-01T13:00-04:00,0.7357108958772747,-17.0,39.74183006535948,35.0,-15.955621659325669,17.42704345108022,False,21.612978524743234,57.870681605975726,True
2023_04_WAS_PHI,2023,4,2023-10-01T13:00-04:00,12.512912501820423,3.0,43.95441176470588,65.0,-4.178420053382521,29.204245057023368,True,25.825560224089635,62.08326330532213,False
2023_04_LV_LAC,2023,4,2023-10-01T16:05-04:00,9.377778799023783,7.0,47.13398692810458,41.0,-7.313553756179161,26.069111354226727,True,29.00513538748833,65.26283846872082,True
2023_04_ARI_SF,2023,4,2023-10-01T16:25-04:00,10.650602714137788,19.0,44.705882352941174,51.0,-6.040729841065156,27.34193526934073,True,26.577030812324928,62.83473389355742,True
2023_04_NE_DAL,2023,4,2023-10-01T16:25-04:00,5.549860038909552,35.0,44.201238390092875,41.0,-11.141472516293392,22.241192594112498,False,26.07238684947663,62.33008993070912,True
2023_04_KC_NYJ,2023,4,2023-10-01T20:20-04:00,-11.838958644419918,-3.0,43.7,43.0,-28.530291199622862,4.852373910783026,True,25.571148459383757,61.82885154061625,True
2023_04_SEA_NYG,2023,4,2023-10-02T20:15-04:00,-0.3485986526614908,-21.0,46.22222222222222,27.0,-17.039931207864434,16.342733902541454,False,28.093370681605975,64.35107376283847,False
2023_05_CHI_WAS,2023,5,2023-10-05T20:15-04:00,6.971620850154395,-20.0,42.73529411764706,60.0,-9.71971170504855,23.66295340535734,False,24.606442577030812,60.864145658263304,True
2023_05_JAX_BUF,2023,5,2023-10-08T09:30-04:00,6.944645741954133,-5.0,46.10087719298245,45.0,-9.746686813248811,23.635978297157077,True,27.972025652366206,64.2297287335987,True
2023_05_BAL_PIT,2023,5,2023-10-08T13:00-04:00,-3.256891879522928,7.0,38.84640522875817,27.0,-19.948224434725873,13.434440675680015,True,20.717553688141926,56.97525676937442,True
2023_05_CAR_DET,2023,5,2023-10-08T13:00-04:00,8.538921186638381,18.0,47.088235294117645,66.0,-8.152411368564563,25.230253741841324,True,28.9593837535014,65.21708683473389,False
2023_05_HOU_ATL,2023,5,2023-10-08T13:00-04:00,-1.7267783004577972,2.0,42.94117647058823,40.0,-18.418110855660743,14.964554254745147,True,24.812324929971986,61.07002801120448,True
2023_05_NO_NE,2023,5,2023-10-08T13:00-04:00,2.0882268745662538,-34.0,40.76470588235294,34.0,-14.603105680636691,18.779559429769197,False,22.635854341736696,58.89355742296919,True
2023_05_NYG_MIA,2023,5,2023-10-08T13:00-04:00,9.542736424920054,15.0,45.91666666666667,47.0,-7.14859613028289,26.234068980123,True,27.787815126050425,64.04551820728292,True
2023_05_TEN_IND,2023,5,2023-10-08T13:00-04:00,0.15182337260250756,7.0,40.38235294117647,39.0,-16.539509182600437,16.84315592780545,True,22.253501400560225,58.51120448179272,True
2023_05_CIN_ARI,2023,5,2023-10-08T16:05-04:00,-2.3975674259764688,-14.0,45.863777089783284,54.0,-19.088899981179413,14.293765129226475,True,27.734925549167038,63.99262863039953,True
2023_05_PHI_LA,2023,5,2023-10-08T16:05-04:00,-3.2132703992336187,-9.0,44.74852941176471,37.0,-19.904602954436562,13.478062155969326,True,26.61967787114846,62.87738095238095,True
2023_05_KC_MIN,2023,5,2023-10-08T16:25-04:00,-7.5392991026388225,-7.0,50.86666666666667,47.0,-24.230631657841766,9.152033452564122,True,32.73781512605042,68.99551820728291,True
2023_05_NYJ_DEN,2023,5,2023-10-08T16:25-04:00,2.7014685676122068,-10.0,37.0,52.0,-13.989863987590738,19.39280112281515,True,18.871148459383754,55.128851540616246,True
